id,alter,genre,categories,released,eigenschaften,original_price,recommendations
556850,,Utilities; Early Access,Steam Achievements; Steam Trading Cards; Steam Workshop; Steam Cloud; Stats,"20 Apr, 2017",,299.0,
561390,,Animation & Modeling; Design & Illustration; Utilities; Web Publishing; Early Access,Tracked Controller Support; VR Only,"19 Dec, 2016",,,
561490,,Education,Tracked Controller Support; VR Only,"22 Dec, 2016",,699.0,
562510,,Design & Illustration,,"6 Dec, 2016",,1249.0,
568640,,Design & Illustration; Early Access,Tracked Controller Support; VR Only,"2 Mar, 2017",,,
570090,,Design & Illustration; Education; Utilities,Steam Trading Cards; Steam Cloud,"16 Feb, 2017",,6999.0,107.0
571040,,Design & Illustration; Education; Photo Editing; Software Training; Utilities,,"24 Feb, 2017",,499.0,
571890,,Animation & Modeling; Design & Illustration,Tracked Controller Support; VR Supported,"26 Jul, 2023",,6350.0,262.0
572350,,Design & Illustration; Early Access,Tracked Controller Support; VR Only,"23 Dec, 2016",,499.0,
575270,,Design & Illustration; Photo Editing; Video Production,,"13 Feb, 2017",,,
576790,,Animation & Modeling; Early Access,Tracked Controller Support; VR Only,"4 Jan, 2017",,,
579620,,Education; Utilities,Tracked Controller Support; VR Only,Coming soon,,,
579920,,Design & Illustration; Photo Editing; Web Publishing,,"13 Jan, 2017",,499.0,
580310,,Audio Production,,"28 Feb, 2017",,8499.0,
582220,,Design & Illustration; Utilities,Tracked Controller Support; VR Only; Includes level editor,"14 Apr, 2017",,899.0,
583200,,Education,Tracked Controller Support; VR Only,"10 Feb, 2017",,299.0,
583510,,Education,Tracked Controller Support; VR Only,"3 Feb, 2017",,,
583850,,Design & Illustration,,"20 Mar, 2017",,4899.0,
583860,,Photo Editing,,"10 Oct, 2017",,4899.0,
583870,,Design & Illustration,,"20 Jul, 2017",,4899.0,
584200,,Utilities,Tracked Controller Support; VR Only,"20 Jun, 2017",,,
586210,,Utilities,Tracked Controller Support; VR Only,"31 Mar, 2017",,819.0,508.0
586560,,Design & Illustration; Photo Editing; Utilities,,"30 Jan, 2017",,1999.0,
588350,,Education; Utilities,Full controller support,"23 Feb, 2017",,159.0,
588720,,Education,,"14 Feb, 2017",,4899.0,
590640,,Software Training,,"28 Feb, 2017",,1479.0,
592260,,Design & Illustration; Early Access,Includes level editor,"26 Feb, 2017",,1499.0,2604.0
592350,,Animation & Modeling,,"24 Mar, 2017",,5499.0,
592450,,Education,Tracked Controller Support; VR Only,"23 Feb, 2017",,,
592920,,Utilities; Video Production,Tracked Controller Support; VR Only,"23 Feb, 2017",,,
593000,,,Family Sharing,"20 Apr, 2017",,,
593090,,Design & Illustration,Tracked Controller Support; VR Only; VR Support,"8 Mar, 2017",,,
595490,,Utilities,Tracked Controller Support; VR Only,"27 Feb, 2017",,,
595510,,Software Training,,"28 Feb, 2017",,1479.0,
596140,,Design & Illustration; Photo Editing,,"6 Mar, 2017",,,
